Nome Original,Nome Traduzido
"Beef, extract, bonox","Carne bovina, extrato, bonox  "
"Basil, dried","Manjericão, seco  "
"Cardamom, seeds, ground","Cardamomo, sementes, moído  "
Chilli (chili) powder,Pó de pimenta (chili)  
"Chilli (chili), dried, ground","Pimenta (chili), seca, moída"
"Cinnamon, dried, ground","Canela, seca, em pó  "
"Cloves, dried, ground","Cravo-da-índia, seco, em pó  "
"Coriander seed, dried, ground","Semente de coentro, seca, em pó  "
"Cumin (cummin) seed, dried, ground","Semente de cominho, seca, em pó  "
Curry powder,Pó de curry
Fenugreek seed,Semente de feno-grego  
"Ginger, dried, ground","Gengibre, seco, em pó  "
"Herbs, mixed, dried","Ervas, mistas, secas  "
Mustard powder,Pó de mostarda  
"Nutmeg, dried, ground","Noz-moscada, seca, em pó"
"Oregano or marjoram, dried","Orégano ou manjerona, seco  "
"Paprika, dry powder","Páprica, pó seco  "
"Pepper, ground, black or white","Pimenta, moída, preta ou branca  "
"Rosemary, dried","Alecrim, seco  "
"Sage, dried","Sálvia, seca"
"Salt substitute, potassium chloride","Substituto de sal, cloreto de potássio  "
"Salt, cooking","Sal, de cozinha  "
"Salt, flavoured","Sal, aromatizado  "
"Salt, rock","Sal, de rocha  "
"Salt, sea","Sal, marinho"
"Salt, table, iodised","Sal, de mesa, iodado  "
"Salt, table, non-iodised","Sal, de mesa, não iodado  "
"Salt, not further defined","Sal, não definido  "
"Seasoning mix, chilli-based, for tacos","Mistura de temperos, à base de pimenta, para tacos  "
"Spice, mixed or all spice","Tempero, misto ou tempero completo"
"Stock, dry powder or cube","Caldo, pó seco ou cubo  "
"Stock, liquid, all flavours (except fish), prepared from commercial powder or cube","Caldo, líquido, todos os sabores (exceto peixe), preparado a partir de pó ou cubo comercial  "
"Stock, liquid, all flavours (except fish), homemade from basic ingredients","Caldo, líquido, todos os sabores (exceto peixe), caseiro a partir de ingredientes básicos  "
"Stock, liquid, fish, commercial","Caldo, líquido, peixe, comercial  "
"Stock, liquid, fish, homemade from basic ingredients","Caldo, líquido, peixe, caseiro a partir de ingredientes básicos"
"Stock, dry powder or cube, reduced salt","Caldo, pó seco ou cubo, com sal reduzido  "
"Stock, liquid, all flavours, reduced salt, prepared from commercial powder or cube","Caldo, líquido, todos os sabores, com sal reduzido, preparado a partir de pó ou cubo comercial  "
"Thyme, dried, ground","Tomilho, seco, moído  "
"Turmeric, dried, ground","Cúrcuma, seca, moída  "
"Baking powder, dry powder","Fermento em pó, pó seco"
"Baking soda (bicarbonate), dry powder","Bicarbonato de sódio, pó seco  "
"Cream of tartar, dry powder","Creme de tártaro, pó seco  "
"Gelatine, all types","Gelatina, todos os tipos  "
"Lecithin, soy, granules","Lecitina, soja, grânulos  "
"Vanilla, artificial","Baunilha, artificial"
"Yeast, bakers, compressed","Fermento, de padeiro, comprimido  "
"Yeast, dry powder","Fermento, em pó seco  "
Caffeine,Cafeína  
Calcium,Cálcio  
Fibre,Fibra
Folic acid,Ácido fólico  
Iodine,Iodo  
Maltodextrin,Maltodextrina  
Oligosaccharide,Oligossacarídeo  
Thiamin,Tiamina
Beta-carotene,Beta-caroteno  
Vitamin C,Vitamina C  
Vitamin E,Vitamina E  
"Beer, lager or ale style (alcohol 5% v/v & above)","Cerveja, estilo lager ou ale (álcool 5% v/v e acima)  "
"Beer, lager or ale style (alcohol 4.6% v/v)","Cerveja, estilo lager ou ale (álcool 4,6% v/v)"
"Beer, lager or ale style, mid strength (alcohol 3.5% v/v)","Cerveja, estilo lager ou ale, média graduação (álcool 3,5% v/v)  "
"Beer, lager or ale style, reduced alcohol or light beer (alcohol 2.5% v/v)","Cerveja, estilo lager ou ale, álcool reduzido ou cerveja leve (álcool 2,5% v/v)  "
"Beer, flavoured (alcohol 4% v/v)","Cerveja, saborizada (álcool 4% v/v)  "
"Beer, home-brewed, full strength","Cerveja, artesanal, plena graduação  "
"Beer, home-brewed, reduced alcohol, mid-strength, or light beer","Cerveja, artesanal, álcool reduzido, média graduação ou cerveja leve"
"Beer, stout (alcohol 6% v/v)","Cerveja, stout (álcool 6% v/v)  "
"Beer, not further defined","Cerveja, não definido  "
Bitters,Bitter  
